backstory,block_size,bonus_rate,color_cue,condition,counter,cue_colors,cue_counter,cue_within,fixed_blocks,players,show_feedback,wall_cue,pid
giveaway,12,0,background,13,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,0
giveaway,12,0,background,17,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,1
giveaway,12,0,background,10,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",False,False,2
giveaway,12,0,background,7,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,3
giveaway,12,0,background,23,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,4
giveaway,12,0,background,11,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,5
giveaway,12,0,background,16,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",False,False,6
giveaway,12,0,background,4,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",False,False,7
giveaway,12,0,background,8,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,"{'miss': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'hit': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'neutral': ""<span style='color: #E3B643'><b>Player Y</b></span>""}",False,False,8
giveaway,12,0,background,3,0,"{'miss': '#4C4FE1', 'hit': '#53BA42', 'neutral': '#E3B643'}",1,True,False,"{'miss': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'hit': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'neutral': ""<span style='color: #E3B643'><b>Player Y</b></span>""}",True,False,9
giveaway,12,0,background,7,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,10
giveaway,12,0,background,0,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",False,False,11
giveaway,12,0,background,19,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,12
giveaway,12,0,background,4,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",False,False,13
giveaway,12,0,background,12,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",False,False,14
giveaway,12,0,background,11,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,15
giveaway,12,0,background,5,0,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,16
giveaway,12,0,background,13,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,17
giveaway,12,0,background,22,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",False,False,18
giveaway,12,0,background,6,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",False,False,19
giveaway,12,0,background,7,0,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",True,False,20
giveaway,12,0,background,17,1,"{'miss': '#53BA42', 'hit': '#E3B643', 'neutral': '#4C4FE1'}",2,True,False,"{'miss': ""<span style='color: #53BA42'><b>Player G</b></span>"", 'hit': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'neutral': ""<span style='color: #4C4FE1'><b>Player B</b></span>""}",True,False,21
giveaway,12,0,background,18,1,"{'miss': '#E3B643', 'hit': '#4C4FE1', 'neutral': '#53BA42'}",0,True,False,"{'miss': ""<span style='color: #E3B643'><b>Player Y</b></span>"", 'hit': ""<span style='color: #4C4FE1'><b>Player B</b></span>"", 'neutral': ""<span style='color: #53BA42'><b>Player G</b></span>""}",False,False,22
